State,City,Listings,Average_Price_Lakhs,Median_Price_per_SqFt,Good_Investment_Rate,Average_ROI_5Y
Karnataka,Bangalore,4144,258.45663851351355,9344.147710670779,0.45825289575289574,52.405334438912824
Gujarat,Surat,6167,258.0804670017837,9479.573354799759,0.4426787741203178,52.37765543031768
Kerala,Kochi,6305,257.4152212529738,9280.632411067194,0.4594766058683584,52.51297033785843
Bihar,Gaya,6170,257.0533905996758,9240.629852993017,0.46369529983792546,52.48988977809965
Karnataka,Mangalore,4063,256.9209254245631,9540.67948144837,0.45877430470095987,52.45904274411713
Uttarakhand,Dehradun,6234,256.8901154956689,9301.898858089895,0.4509143407122233,52.42774455998361
Karnataka,Mysore,4217,256.84817168603274,9271.908763505402,0.4522172160303533,52.38904224751376
Tamil Nadu,Chennai,6168,256.8301718547341,9328.557474408064,0.446011673151751,52.47022677946587
Telangana,Hyderabad,6273,256.5940506934481,9321.617615922083,0.45640044635740473,52.581227289340895
Tamil Nadu,Coimbatore,6461,256.5047453954496,9269.889224572004,0.44544188206160035,52.40176925870983
Madhya Pradesh,Bhopal,6284,256.4988956078931,9236.164186496826,0.46005728835136855,52.55071725812394
Maharashtra,Pune,4224,256.4956605113636,9538.744119315339,0.4618844696969697,52.53570805332971
Uttar Pradesh,Noida,6271,256.287206187211,9437.070938215104,0.4538351140169032,52.69249434820757
Uttar Pradesh,Lucknow,6237,256.21243065576397,9441.207627118643,0.45454545454545453,52.52421568422823
Andhra Pradesh,Vishakhapatnam,6118,255.77244197450148,9307.806010127339,0.45635828702190256,52.53768230721291
Maharashtra,Nagpur,4160,255.53201201923076,9236.398122080202,0.4617788461538462,52.43258822929494
Madhya Pradesh,Indore,6167,255.4138251986379,9236.14010670378,0.45370520512404733,52.40956442004171
Rajasthan,Jaipur,6231,255.2462413737763,9091.432685385169,0.44631680308136734,52.37252653981531
Odisha,Bhubaneswar,6323,254.90217301913648,9168.651738923298,0.4461489799145975,52.36304225716474
Haryana,Faridabad,6169,254.86239260820233,9169.957915182908,0.4402658453558113,52.265935319049376
Andhra Pradesh,Vijayawada,6344,254.6437657629256,9255.562797392162,0.45539092055485497,52.43816837712263
Jharkhand,Ranchi,6145,254.62452888527258,9399.539556299707,0.45500406834825063,52.596857384805695
Telangana,Warangal,6266,254.4751133099266,9268.71660707354,0.45244174912224705,52.447084157444955
West Bengal,Durgapur,6387,254.10015187098793,9158.115811581158,0.443713793643338,52.35948932180945
Haryana,Gurgaon,6145,254.02754922701385,9232.582232582232,0.4509357200976404,52.50646388589107
Rajasthan,Jodhpur,6171,253.94790633608815,9269.120458891013,0.4573002754820937,52.54135049593427
West Bengal,Kolkata,6235,253.91489655172413,9224.67562030503,0.4490777866880513,52.362704479979776
Gujarat,Ahmedabad,6411,253.58682732802993,9193.538737660783,0.4475120885977227,52.378808486824454
Chhattisgarh,Raipur,6193,253.48241563055063,9193.178925935352,0.453899564023898,52.46218142056735
Delhi,Dwarka,6246,253.45429875120078,9236.755010763562,0.45917387127761766,52.45366125898963
Punjab,Ludhiana,6295,253.1596362192216,9154.488517745303,0.45464654487688644,52.462477520805095
Assam,Guwahati,6092,252.99271011162182,9285.265270222328,0.44960604070912674,52.54001906686628
Bihar,Patna,6199,252.79467333440877,9196.947133283693,0.44200677528633653,52.35637163485446
Jharkhand,Jamshedpur,6335,252.62618468823993,9085.918854415275,0.4388318863456985,52.20937836675563
Assam,Silchar,6404,252.57616021236726,9239.744164954023,0.4514366021236727,52.4131436928807
Uttarakhand,Haridwar,6267,252.47600446784747,9087.527352297591,0.4494973671613212,52.37116256941597
Punjab,Amritsar,6221,252.42980228259123,9221.401435204727,0.44767722231152546,52.38727166955671
Maharashtra,Mumbai,4149,252.05663292359603,9326.867119301649,0.47336707640395276,52.6536088867362
Chhattisgarh,Bilaspur,6263,251.8792671243813,9075.787187839305,0.4499441162382245,52.38526018922651
Delhi,New Delhi,6306,251.61429590865842,9098.419178180817,0.4555978433238186,52.4102540215542
Kerala,Trivandrum,6182,251.25880135878356,9083.209473497558,0.4495308961501132,52.383431655055254
Odisha,Cuttack,6358,250.78667190940547,9203.192803142998,0.45454545454545453,52.50798846147156
